PULocationID,mean,std,median,p25,p75,p95
88,37.068754254594964,25.68139903903541,35.0,14.0,56.0,82.0
89,2.1371935315597286,1.5479325057572297,2.0,1.0,3.0,5.0
90,166.80352303523034,87.91952059765488,179.0,92.0,227.0,306.0
91,1.6342281879194631,1.0031535037494037,1.0,1.0,2.0,4.0
92,1.4731914893617022,0.833143066708129,1.0,1.0,2.0,3.0
93,3.067597034452682,2.082558926890248,3.0,1.0,4.0,7.0
94,1.1505102040816326,0.42947627047752346,1.0,1.0,1.0,2.0
95,2.2457912457912457,1.5747955660287372,2.0,1.0,3.0,5.0
96,1.0675675675675675,0.2518546757884237,1.0,1.0,1.0,2.0
97,7.673232500879353,6.132005336079059,6.0,4.0,10.0,18.90000000000009
98,1.1397590361445784,0.39285273975053736,1.0,1.0,1.0,2.0
99,1.0,0.0,1.0,1.0,1.0,1.0
100,198.57046070460706,96.01685605464945,218.0,126.0,265.0,336.0
101,1.2094594594594594,0.5407132449378086,1.0,1.0,1.0,2.0
102,1.1710794297352343,0.4371272824075162,1.0,1.0,1.0,2.0
104,1.0,,1.0,1.0,1.0,1.0
105,1.0,0.0,1.0,1.0,1.0,1.0
106,1.8050028425241615,1.1930105452049884,1.0,1.0,2.0,4.0
107,215.26930894308944,115.05053903903217,228.0,129.0,295.0,392.0
108,1.1770573566084788,0.46483579810724024,1.0,1.0,1.0,2.0
109,1.1363636363636365,0.3512500866571045,1.0,1.0,1.0,2.0
111,1.0576923076923077,0.2354354778987094,1.0,1.0,1.0,1.4499999999999957
112,3.5239149689991143,3.642486004647294,2.0,1.0,4.0,10.0
113,146.54911924119241,84.58932801882509,163.0,69.0,208.0,275.0
114,120.02642276422765,97.85006396680161,93.0,56.0,158.0,319.4499999999998
115,1.1666666666666667,0.5954913341754137,1.0,1.0,1.0,2.6499999999999986
116,10.892234006158057,6.976666245915207,10.0,6.0,14.0,24.0
117,1.2033898305084745,0.610010755961898,1.0,1.0,1.0,2.0
118,1.073394495412844,0.2952218882514511,1.0,1.0,1.0,2.0
119,1.3845360824742268,0.7322499088680505,1.0,1.0,2.0,3.0
120,1.0939597315436242,0.3357581553857412,1.0,1.0,1.0,2.0
121,1.2595870206489677,0.5466599054613097,1.0,1.0,1.0,2.0
122,1.1231671554252198,0.3711150902512301,1.0,1.0,1.0,2.0
123,1.4777618364418939,0.8458020987932457,1.0,1.0,2.0,3.0
124,1.2686567164179106,0.5985056016645797,1.0,1.0,1.0,2.0
125,53.55514082117408,30.89559202854811,56.0,28.0,74.0,104.0
126,1.172607879924953,0.46315377496151144,1.0,1.0,1.0,2.0
127,1.6813256851497769,1.126745483370228,1.0,1.0,2.0,3.0
128,1.0648148148148149,0.2467707022732453,1.0,1.0,1.0,2.0
129,4.848837209302325,3.5062837575968824,4.0,3.0,6.0,11.0
130,2.391627906976744,1.5901993492547442,2.0,1.0,3.0,5.0
131,1.3213213213213213,0.6170963259854312,1.0,1.0,2.0,3.0
132,309.26863143631437,171.53808359202105,299.0,182.0,445.0,585.0
133,1.3736363636363635,0.7323510041073024,1.0,1.0,2.0,3.0
134,1.638239339752407,0.9673663143676617,1.0,1.0,2.0,4.0
135,1.4220183486238531,0.7754422067372367,1.0,1.0,2.0,3.0
136,1.2930011862396205,0.6034626007052112,1.0,1.0,1.0,2.8999999999999773
137,115.03285907859079,61.42908349007672,126.0,65.0,159.0,206.0
138,254.66666666666666,166.4746152484631,290.5,100.0,390.0,488.0
139,1.3114754098360655,0.6245256666019303,1.0,1.0,1.0,3.0
140,175.52235772357724,125.76516944800782,164.0,51.0,284.25,374.0
141,227.14532520325204,131.76653498112145,257.0,92.75,330.0,417.0
142,290.594512195122,188.9618731533542,326.0,109.0,419.0,584.4499999999998
143,113.16706281833616,77.58963042193662,118.0,32.0,177.0,233.0
144,91.03526619192947,64.46136371959756,83.0,37.0,136.0,203.5999999999999
145,12.563586771224003,7.160063160108416,12.0,7.0,17.0,25.0
146,8.84709480122324,4.818218056659488,8.0,6.0,11.0,17.0
147,1.181985294117647,0.46016942968765984,1.0,1.0,1.0,2.0
148,113.94376693766938,153.98245340204798,63.5,43.0,116.0,375.89999999999964
149,1.3323216995447649,0.6641281367826605,1.0,1.0,1.5,3.0
150,1.1432291666666667,0.41234980914277997,1.0,1.0,1.0,2.0
151,83.94747543205693,54.42063684679593,92.0,29.0,126.0,170.0
152,9.490683229813664,5.8510521565229405,9.0,5.0,13.0,20.0
153,1.1682027649769586,0.4526575317041611,1.0,1.0,1.0,2.0
154,1.0552147239263803,0.22910275182323508,1.0,1.0,1.0,1.9000000000000057
155,1.4197952218430034,0.7726058346827307,1.0,1.0,2.0,3.0
156,1.1475409836065573,0.47735610654836746,1.0,1.0,1.0,2.0
157,1.5756944444444445,0.8821247430123351,1.0,1.0,2.0,3.0
158,94.0922033898305,64.57438956177866,89.0,52.0,123.0,204.0
159,1.5894224077940153,0.9299111964514907,1.0,1.0,2.0,3.0
160,1.1725352112676057,0.4808347189801035,1.0,1.0,1.0,2.0
161,407.5138888888889,292.46977121126076,390.0,122.0,650.25,905.3499999999995
162,356.0921409214092,241.82362130619768,357.0,131.75,511.0,800.8999999999996
163,260.38855013550136,167.9029803817541,266.0,99.75,387.0,544.8999999999996
164,223.89972899728997,117.73176572784934,240.0,124.0,311.0,405.0
165,1.5194274028629857,0.9038362906366705,1.0,1.0,2.0,3.0
166,51.641912512716175,33.05831295604492,52.0,23.0,74.0,107.0
167,1.3045023696682465,0.6032168520321985,1.0,1.0,1.0,2.0
168,2.5995867768595042,1.8372157055977223,2.0,1.0,3.0,6.0
169,1.3137003841229193,0.6077948855788021,1.0,1.0,1.0,3.0
170,300.8631436314363,177.4962838276585,332.5,132.0,442.0,554.0
171,1.1734892787524367,0.4667864168619965,1.0,1.0,1.0,2.0
172,1.05,0.22360679774997894,1.0,1.0,1.0,1.0500000000000007
173,1.3061760840998686,0.6606027674192818,1.0,1.0,1.0,3.0
174,1.287817938420348,0.5870806851568329,1.0,1.0,1.0,2.0
175,1.1145510835913313,0.3644173853803571,1.0,1.0,1.0,2.0
176,1.0,0.0,1.0,1.0,1.0,1.0
