PULocationID,mean,std,median,p25,p75,p95
174,1.2746090156393743,0.5831892644817471,1.0,1.0,1.0,2.0
175,1.1438923395445135,0.38763126114237967,1.0,1.0,1.0,2.0
176,1.0689655172413792,0.25788071477756386,1.0,1.0,1.0,1.5999999999999979
177,1.443827160493827,0.7920133409257348,1.0,1.0,2.0,3.0
178,1.1831470335339638,0.4926217069685911,1.0,1.0,1.0,2.0
179,5.091051051051051,3.761654695472467,4.0,2.0,7.0,12.0
180,1.22412562455389,0.5500808732035151,1.0,1.0,1.0,2.0
181,7.918599091561081,7.895579475365013,6.0,3.0,10.0,21.0
182,1.4639858594785682,0.897194479681598,1.0,1.0,2.0,3.0
183,1.1111111111111112,0.35279906203902855,1.0,1.0,1.0,2.0
184,1.0512820512820513,0.24333570514380415,1.0,1.0,1.0,1.0
185,1.2122110254890337,0.49194487346251886,1.0,1.0,1.0,2.0
186,345.40700993264073,180.08132377003577,393.0,165.0,480.0,591.0
187,1.0588235294117647,0.2376354103144018,1.0,1.0,1.0,1.5
188,2.119607843137255,1.4067081286626424,2.0,1.0,3.0,5.0
189,2.4354122099720255,1.8909497951515681,2.0,1.0,3.0,6.0
190,1.3745364647713225,0.8562236037711956,1.0,1.0,1.0,3.0
191,1.4087530966143682,0.768905849792694,1.0,1.0,2.0,3.0
192,1.1398783666377064,0.4091131266652925,1.0,1.0,1.0,2.0
193,7.30099706744868,4.809555168654786,6.0,4.0,10.0,16.0
194,1.686458893068243,2.1832900824305064,1.0,1.0,2.0,3.0
195,1.8327239488117002,2.6663014648273227,1.0,1.0,2.0,4.0
196,1.6558505408062931,0.9342822114708864,1.0,1.0,2.0,4.0
197,1.7333174451858913,1.2651543571268673,1.0,1.0,2.0,4.0
198,1.2754342431761787,0.6137848269852086,1.0,1.0,1.0,2.0
199,1.3,0.6749485577105528,1.0,1.0,1.0,2.549999999999999
200,1.2552631578947369,0.5901082206998018,1.0,1.0,1.0,2.0
201,1.1104477611940298,0.35844571673235964,1.0,1.0,1.0,2.0
202,1.299618320610687,0.6015760192034931,1.0,1.0,1.0,2.0
203,1.3040141676505312,0.6613240507455429,1.0,1.0,1.0,3.0
204,1.12,0.33166247903554,1.0,1.0,1.0,2.0
205,1.635450421257291,1.0988253229744334,1.0,1.0,2.0,4.0
206,1.1228813559322033,0.43971190122221104,1.0,1.0,1.0,2.0
207,2.1262008733624453,1.505273669269597,2.0,1.0,3.0,5.0
208,1.1914509331727874,0.4778961192075604,1.0,1.0,1.0,2.0
209,20.3334879944322,12.796217457059472,20.0,10.0,28.0,43.0
210,1.4473905723905724,0.8196080761845094,1.0,1.0,2.0,3.0
211,75.77553825011452,51.517418856635565,75.0,29.0,114.0,163.0
212,1.2855614973262033,0.6474670408462819,1.0,1.0,1.0,3.0
213,1.6523345649983205,1.176775465225004,1.0,1.0,2.0,4.0
214,1.0465116279069768,0.24560082948121423,1.0,1.0,1.0,1.0
215,2.1345338983050848,1.4656876754305987,2.0,1.0,3.0,5.0
216,2.1477674810446503,1.4227322863415166,2.0,1.0,3.0,5.0
217,1.505993866741009,0.8922141273495537,1.0,1.0,2.0,3.0
218,1.487682832948422,0.8977586969542584,1.0,1.0,2.0,3.0
219,1.7289114860180264,1.0567587519833805,1.0,1.0,2.0,4.0
220,1.3744614179396788,0.6925529993552932,1.0,1.0,2.0,3.0
221,1.0859375,0.37704494917819475,1.0,1.0,1.0,2.0
222,1.4488117001828154,0.8529962550180094,1.0,1.0,2.0,3.0
223,5.097179058092278,3.105208270175779,5.0,3.0,7.0,11.0
224,19.181892714921528,13.19390941717163,17.0,9.0,27.0,44.0
225,1.9397116644823067,1.2858046021458702,2.0,1.0,2.0,4.0
226,13.82467978042086,7.943643960219861,12.0,9.0,17.0,29.0
227,1.212403951701427,0.48751556710190624,1.0,1.0,1.0,2.0
228,1.5873951484924054,0.9407695950109639,1.0,1.0,2.0,3.0
229,181.24717433496974,104.31857084569798,195.0,87.0,255.0,349.0
230,330.88982760589107,194.26306687300763,328.0,171.0,436.0,688.0
231,159.3559031742407,92.69795083522305,171.5,81.0,219.0,317.0
232,13.658505601108674,11.160058972497954,11.0,7.0,17.0,35.0
233,125.36842105263158,78.65777138629804,135.0,50.0,182.0,250.0
234,289.1287818244092,182.61384775999034,298.0,117.0,420.0,595.0
235,1.4521259331385914,0.8476837377233509,1.0,1.0,2.0,3.0
236,375.50998972485445,286.0812729513926,364.0,74.0,627.0,826.0
237,415.49001027514555,301.36803079216344,438.0,96.0,677.0,871.0
238,189.58168740723826,123.87597541521917,200.0,63.0,290.0,384.0
239,249.12923849754537,158.37480285759005,287.0,81.0,374.0,478.0
240,1.1154791154791155,0.3632518755015221,1.0,1.0,1.0,2.0
241,1.2496116002071465,0.6123458709322286,1.0,1.0,1.0,2.0
242,1.48876204067071,0.8525052312245435,1.0,1.0,2.0,3.0
243,2.2939740655987797,1.5755083061937294,2.0,1.0,3.0,5.0
244,10.554101019462465,6.828473774342665,10.0,6.0,14.0,23.0
245,1.0789473684210527,0.27144835701531844,1.0,1.0,1.0,2.0
246,157.87224569014728,97.53550014671819,162.0,75.0,221.0,325.0
247,2.126940324249741,1.5682160865814707,2.0,1.0,3.0,5.0
248,1.2343655130540376,0.5902894402796611,1.0,1.0,1.0,2.0
249,186.29318415344218,122.5409472476504,160.0,111.0,233.0,439.10000000000036
250,1.2889863547758285,0.6428662246135423,1.0,1.0,1.0,2.0
251,1.1650485436893203,0.4664653777085707,1.0,1.0,1.0,2.0
252,1.1576952236542835,0.5503477955940741,1.0,1.0,1.0,2.0
253,1.0803212851405624,0.3136258705563249,1.0,1.0,1.0,2.0
254,1.425768233987412,0.791708544135538,1.0,1.0,2.0,3.0
255,8.579655317360235,10.76909976751549,5.0,2.0,11.0,31.199999999999818
256,6.344652615144418,7.734030413959113,4.0,2.0,7.0,22.0
257,1.2883064516129032,0.6492186283439315,1.0,1.0,1.0,3.0
258,1.307498741821842,0.6690986364283816,1.0,1.0,1.0,3.0
259,1.251621271076524,0.6566047146836383,1.0,1.0,1.0,2.0
260,4.988966662712065,3.6215744317155325,4.0,2.0,6.0,12.0
261,56.23822619456858,38.9049214038063,55.0,18.0,89.0,118.0
262,116.35572851093052,88.88752332890802,114.0,31.0,181.0,276.0
263,176.18027172051603,96.87021635182121,192.0,87.0,247.0,323.0
264,89.74092258506508,66.36178069752751,83.0,47.0,110.0,213.14999999999964
265,5.5031379514505625,3.618128450871656,5.0,3.0,7.0,12.0
