zone_id,count,mean,std,variance,min,max,median,q25,q75,iqr,skewness,kurtosis,LocationID,Zone,Borough
98,25,1.24,0.6633249580710799,0.43999999999999995,1,4,1.0,1.0,1.0,0.0,3.4217962376241253,12.923839545291218,98,Fresh Meadows,Queens
99,1,2.0,,,2,2,2.0,2.0,2.0,0.0,,,99,Freshkills Park,Staten Island
100,673,72.6552748885587,37.018295504315965,1370.3542020448597,1,168,80.0,40.0,99.0,59.0,-0.23714917517449316,-0.8718756470009934,100,Garment District,Manhattan
101,39,1.1282051282051282,0.3386884284293705,0.11470985155195683,1,2,1.0,1.0,1.0,0.0,2.3141734939646237,3.5341812400635915,101,Glen Oaks,Queens
102,34,1.1764705882352942,0.4586269518104189,0.2103386809269163,1,3,1.0,1.0,1.0,0.0,2.7162876210104705,7.3266331745605076,102,Glendale,Queens
105,1,1.0,,,1,1,1.0,1.0,1.0,0.0,,,105,Governor's Island/Ellis Island/Liberty Island,Manhattan
106,115,1.2260869565217392,0.6221196021584425,0.38703279938977875,1,4,1.0,1.0,1.0,0.0,3.1420039781818803,9.975959358361594,106,Gowanus,Brooklyn
107,673,94.15750371471026,54.95822689355158,3020.4067032830962,1,228,104.0,42.0,129.0,87.0,-0.06495993762827679,-0.8047818155301796,107,Gramercy,Manhattan
108,66,1.121212121212121,0.37273011540220213,0.13892773892773894,1,3,1.0,1.0,1.0,0.0,3.2472845317287238,10.887989883016854,108,Gravesend,Brooklyn
109,4,1.0,0.0,0.0,1,1,1.0,1.0,1.0,0.0,0.0,0.0,109,Great Kills,Staten Island
112,296,2.010135135135135,1.7417793304302012,3.03379523591388,1,15,1.0,1.0,2.0,1.0,3.255031653284565,15.387722457385243,112,Greenpoint,Brooklyn
113,659,60.82701062215478,38.32916701930142,1469.125044393504,1,150,68.0,22.5,89.0,66.5,-0.11519823116024927,-1.0450805616347556,113,Greenwich Village North,Manhattan
114,665,59.0406015037594,60.02933399094716,3603.5209393966843,1,328,43.0,19.0,77.0,58.0,1.8934006293891943,3.784209923055229,114,Greenwich Village South,Manhattan
115,3,1.3333333333333333,0.5773502691896257,0.3333333333333333,1,2,1.0,1.0,1.5,0.5,1.7320508075688785,,115,Grymes Hill/Clifton,Staten Island
116,577,3.4419410745233967,2.596172739313602,6.740112892355093,1,17,3.0,2.0,4.0,2.0,1.9021872174284227,4.667989108502191,116,Hamilton Heights,Manhattan
117,97,1.2783505154639174,0.6079725192740539,0.3696305841924399,1,4,1.0,1.0,1.0,0.0,2.332202321642182,5.26798494758874,117,Hammels/Arverne,Queens
118,5,1.2,0.4472135954999579,0.2,1,2,1.0,1.0,1.0,0.0,2.2360679774997902,5.000000000000002,118,Heartland Village/Todt Hill,Staten Island
119,114,1.1754385964912282,0.40452340656843266,0.16363918646172948,1,3,1.0,1.0,1.0,0.0,2.1298686688485295,3.7121450549882646,119,Highbridge,Bronx
120,14,1.0,0.0,0.0,1,1,1.0,1.0,1.0,0.0,0.0,0.0,120,Highbridge Park,Manhattan
121,94,1.2553191489361701,0.5066476413964652,0.2566918325326012,1,3,1.0,1.0,1.0,0.0,1.871192645850292,2.75665989849422,121,Hillcrest/Pomonok,Queens
122,59,1.0847457627118644,0.2808936228404367,0.07890122735242548,1,2,1.0,1.0,1.0,0.0,3.06040811505125,7.623503202450571,122,Hollis,Queens
123,67,1.1343283582089552,0.4891403215679805,0.23925825418362737,1,4,1.0,1.0,1.0,0.0,4.333647075189469,20.576277387461502,123,Homecrest,Brooklyn
124,92,1.076086956521739,0.26659001127895315,0.07107023411371238,1,2,1.0,1.0,1.0,0.0,3.250934506168757,8.758545935228021,124,Howard Beach,Queens
125,658,21.848024316109424,12.452087929645653,155.05449380762698,1,74,23.0,12.0,30.0,18.0,0.14653396293450005,-0.23314470234872697,125,Hudson Sq,Manhattan
126,41,1.0,0.0,0.0,1,1,1.0,1.0,1.0,0.0,0.0,0.0,126,Hunts Point,Bronx
127,117,1.1282051282051282,0.3605183418372233,0.129973474801061,1,3,1.0,1.0,1.0,0.0,2.799134442798214,7.568047638426781,127,Inwood,Manhattan
128,14,1.0714285714285714,0.26726124191242434,0.07142857142857141,1,2,1.0,1.0,1.0,0.0,3.7416573867739427,14.000000000000014,128,Inwood Hill Park,Manhattan
129,350,1.5542857142857143,0.9154336837304096,0.8380188293082276,1,6,1.0,1.0,2.0,1.0,1.9461021386604416,4.093546333774579,129,Jackson Heights,Queens
130,296,1.4763513513513513,0.7676388174785473,0.5892693540998626,1,4,1.0,1.0,2.0,1.0,1.7095669778635338,2.4821948970382004,130,Jamaica,Queens
131,91,1.1978021978021978,0.4993279977414138,0.24932844932844936,1,4,1.0,1.0,1.0,0.0,3.1008011061178777,11.744192558163984,131,Jamaica Estates,Queens
132,673,196.27637444279347,115.83974327729693,13418.84612255006,1,507,200.0,108.0,286.0,178.0,0.020530683970949773,-0.8529830655776238,132,JFK Airport,Queens
133,82,1.1219512195121952,0.45515548564156133,0.20716651610960554,1,4,1.0,1.0,1.0,0.0,4.524233401823593,22.919223798379722,133,Kensington,Brooklyn
134,198,1.292929292929293,0.5918657628800202,0.3503050812695483,1,4,1.0,1.0,1.0,0.0,2.185833192237834,4.862659555535627,134,Kew Gardens,Queens
135,142,1.204225352112676,0.4382222693644134,0.19203875736689646,1,3,1.0,1.0,1.0,0.0,1.983170078226998,3.1607502814596242,135,Kew Gardens Hills,Queens
136,104,1.1730769230769231,0.40488060549377236,0.16392830470500372,1,3,1.0,1.0,1.0,0.0,2.19153676641808,4.071733694823689,136,Kingsbridge Heights,Bronx
137,671,50.970193740685545,31.005618264957388,961.3483639922592,1,172,53.0,22.5,73.0,50.5,0.21516562129116273,-0.40012701700147435,137,Kips Bay,Manhattan
138,640,132.0390625,92.7623212139034,8604.848236991393,1,426,145.5,36.75,206.25,169.5,0.04048888220158881,-0.9579284210534045,138,LaGuardia Airport,Queens
139,94,1.2340425531914894,0.5169291441824875,0.26721574010523896,1,3,1.0,1.0,1.0,0.0,2.175017545367115,3.9601984482001673,139,Laurelton,Queens
140,672,91.72470238095238,71.16430129879005,5064.357779344972,1,251,85.5,21.75,159.25,137.5,0.29643598512114117,-1.2809927820858136,140,Lenox Hill East,Manhattan
141,673,109.8781575037147,66.24885453766379,4388.910727552537,1,283,132.0,41.0,160.0,119.0,-0.2499162228022536,-1.1994198891023893,141,Lenox Hill West,Manhattan
142,671,138.5171385991058,99.90043963946492,9980.097840158374,1,503,158.0,32.0,205.0,173.0,0.30595276445234554,-0.21091468431412252,142,Lincoln Square East,Manhattan
143,653,49.26952526799388,34.54699305837646,1193.494729375511,1,135,54.0,12.0,78.0,66.0,-0.00826399904973087,-1.332129607556809,143,Lincoln Square West,Manhattan
144,650,38.646153846153844,30.605311265109364,936.6850776342302,1,147,35.0,12.25,57.75,45.5,0.8758779303267593,0.544692512998235,144,Little Italy/NoLiTa,Manhattan
145,564,4.48404255319149,3.6015726737984024,12.971325724651372,1,26,3.0,2.0,6.0,4.0,1.4593112206836398,2.872780595016711,145,Long Island City/Hunters Point,Queens
146,549,2.8615664845173043,2.2770991970766703,5.185180753327217,1,29,2.0,1.0,4.0,3.0,4.2088632486232855,35.54524603328276,146,Long Island City/Queens Plaza,Queens
147,49,1.1428571428571428,0.408248290463863,0.16666666666666666,1,3,1.0,1.0,1.0,0.0,3.0097453754410335,9.222016651248847,147,Longwood,Bronx
148,669,47.285500747384155,70.55316580866253,4977.7492056246265,1,435,24.0,13.0,50.0,37.0,3.337564118975412,11.770584241112322,148,Lower East Side,Manhattan
149,62,1.0806451612903225,0.2745122110081744,0.07535695399259648,1,2,1.0,1.0,1.0,0.0,3.157115173433431,8.232007136485294,149,Madison,Brooklyn
150,30,1.2666666666666666,0.5832922809856746,0.34022988505747126,1,3,1.0,1.0,1.0,0.0,2.1479724552132784,3.7468042366691017,150,Manhattan Beach,Brooklyn
151,653,36.89739663093415,25.467473709389687,648.5922171384549,1,98,40.0,10.0,58.0,48.0,0.030640834079841205,-1.2586151153797476,151,Manhattan Valley,Manhattan
152,557,3.509874326750449,2.447725302569653,5.991359156839699,1,15,3.0,2.0,5.0,3.0,1.29295323228056,1.9718482191747437,152,Manhattanville,Manhattan
153,30,1.0,0.0,0.0,1,1,1.0,1.0,1.0,0.0,0.0,0.0,153,Marble Hill,Manhattan
154,57,1.1228070175438596,0.33113308926626095,0.10964912280701754,1,2,1.0,1.0,1.0,0.0,2.361039132484671,3.7032727272727275,154,Marine Park/Floyd Bennett Field,Brooklyn
155,126,1.1428571428571428,0.351324026261472,0.12342857142857148,1,2,1.0,1.0,1.0,0.0,2.0659174931370146,2.304342599877611,155,Marine Park/Mill Basin,Brooklyn
